,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
61,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1,30.6,42,11.9,2.25,35.4,0.0975,403,180,0.87,3.37,121,0.8,Tsai,,
62,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,1,30.6,43,11.91,2.24,35.4,0.0965,404,175,0.91,4.97,234,1.17,Tsai,,
63,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,25,1,30.8,47,12.1,2.25,35.7,0.0953,404,172,0.93,6.62,379,1.56,Tsai,,
64,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1,31.1,61,12.27,2.26,35.9,0.0937,404,167,0.96,9.87,740,2.33,Tsai,,
65,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1,31.3,68,12.45,2.27,36.1,0.0925,404,164,0.99,13.22,1198,3.12,Tsai,,
66,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,1,31.6,406,12.67,2.27,36.4,0.0903,402,156,1.04,16.63,1742,3.92,Tsai,,
67,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,1.5,31.5,351,12.64,2.26,36.3,0.0871,403,218,1.04,9.92,740,2.34,Tsai,,
68,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,24,1.5,31.6,112,12.68,2.25,36.4,0.0852,403,229,0.97,6.61,378,1.56,Tsai,,
69,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,1.5,31.7,100,12.79,2.25,36.5,0.0831,403,233,0.95,4.93,233,1.16,Tsai,,
70,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,1.5,31.9,91,12.95,2.25,36.7,0.0812,400,241,0.89,3.29,119,0.77,Tsai,,
71,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1.5,32.1,84,13.07,2.26,36.8,0.0802,400,254,0.8,1.65,38,0.39,Tsai,,
72,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1.5,32.2,80,13.21,2.26,37,0.0791,400,275,0.66,0.75,10,0.18,Tsai,,
73,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,0.6,32.5,15,13.4,2.27,37.2,0.0781,410,158,0.68,0.77,10,0.18,Tsai,,
74,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,0.6,32.5,16,13.44,2.27,37.2,0.0771,410,135,0.8,1.64,37,0.39,Tsai,,
75,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,12,0.6,32.7,17,13.54,2.27,37.3,0.076,410,128,0.83,3.29,119,0.78,Tsai,,
76,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,0.6,32.9,18,13.75,2.28,37.6,0.0752,408,122,0.87,4.97,233,1.17,Tsai,,
77,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,25,0.6,33.1,20,13.89,2.29,37.7,0.0742,409,118,0.9,6.73,381,1.59,Tsai,,
78,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,37,0.6,33.2,25,14.02,2.29,37.9,0.0732,410,113,0.93,10.22,753,2.41,Tsai,,
79,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,0.6,33.5,84,14.28,2.31,38.2,0.0722,409,111,0.94,13.72,1213,3.23,Tsai,,
80,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,61,0.6,33.6,365,14.37,2.3,38.3,0.0703,409,109,0.96,17.31,1763,4.08,Tsai,,
81,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,2,1,14.7,40,4.38,1.44,22.5,0.0896,391,258,0.65,0.21,7,0.05,Tsai,,
82,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1,14.8,42,4.41,1.44,22.6,0.0887,391,240,0.76,0.54,34,0.13,Tsai,,
83,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,13,1,14.7,47,4.39,1.44,22.5,0.0885,391,231,0.83,1.12,119,0.26,Tsai,,
84,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,18,1,14.8,52,4.43,1.45,22.6,0.0884,391,226,0.86,1.57,210,0.37,Tsai,,
85,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,25,1,15.1,50,4.49,1.45,22.8,0.0868,391,217,0.93,2.1,340,0.49,Tsai,,
86,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,36,1,15.1,62,4.49,1.45,22.8,0.0859,391,218,0.92,3.12,658,0.74,Tsai,,
87,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,49,1,14.7,436,4.4,1.43,22.6,0.0834,391,208,1.02,4.2,1077,0.99,Tsai,,
88,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,3,1.5,14.8,87,4.42,1.42,22.6,0.0801,391,298,0.67,0.22,8,0.05,Tsai,,
89,M250Y,3.1,250,45,0.16,0.024,0.011,242.4242,,242424.24,6,1.5,14.9,95,4.45,1.42,22.7,0.0787,391,285,0.79,0.54,35,0.13,Tsai,,
