,Unnamed: 0,Packing Type,Height,specific area,void fraction,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
32,804,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.0,0.47872340425531906,0.7875647668393783,,0.8954326923076923,0.7454545454545458,0.0328525641025641,0.0,0.5601851851851851,0.8112244897959183,0.40594059405940586,,,,Wang,,
33,805,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.09063893016344723,0.4734042553191488,0.844559585492228,,0.9999999999999998,0.8090909090909093,0.03552350427350427,0.5000000000000009,0.5601851851851851,0.7346938775510202,0.4752475247524752,,,,Wang,,
34,806,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.2734026745913818,0.4734042553191488,0.8031088082901555,,0.9278846153846152,0.7636363636363639,0.03365384615384616,0.5000000000000009,0.5601851851851851,0.683673469387755,0.6039603960396038,,,,Wang,,
35,807,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.4546805349182763,0.4734042553191488,0.7927461139896376,,0.9050480769230769,0.7454545454545458,0.03311965811965813,0.5000000000000009,0.5601851851851851,0.6530612244897959,0.6732673267326732,,,,Wang,,
36,808,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.6359583952451707,0.4734042553191488,0.7823834196891194,,0.8870192307692306,0.7363636363636366,0.03258547008547008,0.0,0.5601851851851851,0.6377551020408162,0.7227722772277227,,,,Wang,,
37,809,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.8172362555720653,0.4734042553191488,0.7823834196891194,,0.8858173076923077,0.7363636363636366,0.03258547008547008,0.0,0.5601851851851851,0.6173469387755101,0.7722772277227723,,,,Wang,,
38,810,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.9985141158989596,0.4734042553191488,0.7720207253886012,,0.8725961538461537,0.7272727272727273,0.03205128205128206,0.0,0.5601851851851851,0.586734693877551,0.8415841584158414,,,,Wang,,
39,811,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.4546805349182763,0.7393617021276593,0.756476683937824,,0.841346153846154,0.7090909090909092,0.03125,0.0,0.5601851851851851,0.8163265306122448,0.7425742574257426,,,,Wang,,
40,812,RSR 0.7,0.5714285714285712,0.320855614973262,1.0,0.4546805349182763,0.9148936170212765,0.7461139896373058,,0.8293269230769229,0.7,0.030715811965811968,0.0,0.5601851851851851,0.8826530612244897,0.7920792079207919,,,,Wang,,
41,813,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.0,0.0,0.683937823834197,,0.7451923076923077,0.6181818181818184,0.028579059829059825,1.0,0.9537037037037042,0.19387755102040805,0.0,,,,Wang,,
42,814,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.09063893016344723,0.0,0.6476683937823836,,0.689903846153846,0.5727272727272725,0.02697649572649574,1.0,0.9537037037037042,0.09693877551020402,0.08910891089108919,,,,Wang,,
43,815,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.2719167904903417,0.0,0.6269430051813473,,0.6574519230769229,0.5545454545454549,0.02590811965811965,1.0,0.9537037037037042,0.030612244897959107,0.15841584158415845,,,,Wang,,
44,816,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.4546805349182763,0.0,0.6062176165803109,,0.625,0.5363636363636364,0.024839743589743585,0.5000000000000009,0.9537037037037042,0.005102040816326481,0.18811881188118806,,,,Wang,,
45,817,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.6359583952451707,0.0,0.5803108808290157,,0.5901442307692308,0.509090909090909,0.02377136752136752,0.5000000000000009,0.9537037037037042,0.0,0.2178217821782178,,,,Wang,,
46,818,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.8172362555720653,0.0,0.5699481865284975,,0.5733173076923077,0.5000000000000002,0.022970085470085486,0.5000000000000009,0.9537037037037042,0.005102040816326481,0.2178217821782178,,,,Wang,,
47,819,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.9999999999999999,0.0,0.5492227979274614,,0.5456730769230769,0.4818181818181819,0.022168803418803423,0.5000000000000009,0.9537037037037042,0.010204081632652962,0.2178217821782178,,,,Wang,,
48,820,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.0,0.21276595744680843,0.6217616580310882,,0.6574519230769229,0.5454545454545456,0.02590811965811965,1.0,0.8842592592592595,0.5255102040816325,0.02970297029702973,,,,Wang,,
49,821,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.09063893016344723,0.21276595744680843,0.6010362694300521,,0.625,0.5272727272727271,0.024839743589743585,1.0,0.8842592592592595,0.44387755102040805,0.1089108910891089,,,,Wang,,
50,822,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.2734026745913818,0.21276595744680843,0.5854922279792748,,0.6033653846153846,0.509090909090909,0.024305555555555566,1.0,0.8842592592592595,0.3826530612244897,0.17821782178217815,,,,Wang,,
51,823,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.4546805349182763,0.21276595744680843,0.5647668393782385,,0.5721153846153846,0.49090909090909096,0.023237179487179488,1.0,0.8842592592592595,0.3520408163265305,0.2277227722772277,,,,Wang,,
52,824,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.6359583952451707,0.21276595744680843,0.5440414507772021,,0.5408653846153846,0.47272727272727266,0.022168803418803423,1.0,0.8842592592592595,0.34183673469387743,0.2475247524752474,,,,Wang,,
53,825,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.8187221396731054,0.21276595744680843,0.5492227979274614,,0.546875,0.4818181818181819,0.022168803418803423,0.5000000000000009,0.8842592592592595,0.3163265306122448,0.27722772277227714,,,,Wang,,
54,826,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.0,0.4734042553191488,0.6943005181347152,,0.7584134615384615,0.6272727272727272,0.02884615384615384,0.5000000000000009,0.6990740740740744,0.7346938775510202,0.06930693069306937,,,,Wang,,
55,827,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.09063893016344723,0.47872340425531906,0.6632124352331609,,0.705528846153846,0.5909090909090906,0.027243589743589744,0.5000000000000009,0.6990740740740744,0.6785714285714285,0.14851485148514854,,,,Wang,,
56,828,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.2734026745913818,0.47872340425531906,0.6321243523316064,,0.6634615384615385,0.5636363636363637,0.02590811965811965,0.5000000000000009,0.6990740740740744,0.6275510204081632,0.2178217821782178,,,,Wang,,
57,829,RSR 0.3,0.7142857142857135,0.9999999999999999,0.0,0.09063893016344723,0.5638297872340423,0.37305699481865295,,0.3329326923076923,0.3181818181818181,0.014690170940170943,0.5000000000000009,0.6990740740740744,0.780612244897959,0.17821782178217815,,,,Wang,,
