,Unnamed: 0,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
54,54,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.489473684,0.855072464,0.620646766,0.772943038,0.840909091,0.03047138,0.348802395,0.372156506,0.554487179,0.621848739,0.322339703,0.179896932,0.322427984,Tsai,,
55,55,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.011080332,0.015789474,0.898550725,0.009950249,0.848101266,0.859848485,0.032323232,0.28742515,0.645131938,0.371794872,0.277310924,0.015374915,0.001087419,0.015432099,Tsai,,
56,56,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.015789474,0.905797101,0.01119403,0.859968354,0.859848485,0.032659933,0.26497006,0.626933576,0.317307692,0.352941176,0.040207586,0.005578932,0.040123457,Tsai,,
57,57,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.015789474,0.913043478,0.012437811,0.872626582,0.863636364,0.032996633,0.245508982,0.672429481,0.294871795,0.394957983,0.080851683,0.017824216,0.080864198,Tsai,,
58,58,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.015789474,0.927536232,0.021144279,0.893987342,0.867424242,0.033501684,0.241017964,0.672429481,0.266025641,0.428571429,0.163255408,0.057113139,0.163374486,Tsai,,
59,59,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.226315789,0.826086957,0.036069652,0.717563291,0.821969697,0.029292929,0.721556886,0.381255687,0.551282051,0.235294118,0.00295858,0.000330954,0.00308642,Tsai,,
60,60,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.226315789,0.836956522,0.039800995,0.734968354,0.825757576,0.02962963,0.675149701,0.381255687,0.471153846,0.352941176,0.007323698,0.00156021,0.007407407,Tsai,,
61,61,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.226315789,0.829710145,0.043532338,0.723892405,0.818181818,0.029292929,0.663173653,0.381255687,0.448717949,0.394957983,0.015714424,0.005626212,0.015843621,Tsai,,
62,62,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.226315789,0.829710145,0.044776119,0.724683544,0.814393939,0.029292929,0.648203593,0.390354868,0.432692308,0.428571429,0.023474634,0.010968749,0.02345679,Tsai,,
63,63,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.329639889,0.226315789,0.836956522,0.049751244,0.73971519,0.818181818,0.02979798,0.630239521,0.390354868,0.423076923,0.445378151,0.03147735,0.017824216,0.031481481,Tsai,,
64,64,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.226315789,0.847826087,0.067164179,0.753164557,0.821969697,0.03013468,0.606287425,0.390354868,0.407051282,0.470588235,0.047240275,0.034891967,0.047325103,Tsai,,
65,65,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.226315789,0.855072464,0.075870647,0.767405063,0.825757576,0.03047138,0.588323353,0.390354868,0.397435897,0.495798319,0.063488214,0.05654579,0.063580247,Tsai,,
66,66,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.828254848,0.226315789,0.865942029,0.496268657,0.784810127,0.825757576,0.030976431,0.555389222,0.372156506,0.371794872,0.537815126,0.080027161,0.082265614,0.080041152,Tsai,,
67,67,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.489473684,0.862318841,0.427860697,0.782436709,0.821969697,0.030808081,0.50748503,0.381255687,0.570512821,0.537815126,0.047482782,0.034891967,0.047530864,Tsai,,
68,68,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.315789474,0.489473684,0.865942029,0.130597015,0.785601266,0.818181818,0.030976431,0.479041916,0.381255687,0.605769231,0.478991597,0.031428849,0.017776937,0.031481481,Tsai,,
69,69,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.489473684,0.869565217,0.115671642,0.794303797,0.818181818,0.031144781,0.44760479,0.381255687,0.618589744,0.462184874,0.023280629,0.010921469,0.023251029,Tsai,,
70,70,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.489473684,0.876811594,0.104477612,0.806962025,0.818181818,0.031481481,0.419161677,0.353958144,0.644230769,0.411764706,0.015326414,0.005531653,0.015226337,Tsai,,
71,71,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.489473684,0.884057971,0.095771144,0.816455696,0.821969697,0.031649832,0.404191617,0.353958144,0.685897436,0.336134454,0.007372199,0.001702047,0.007407407,Tsai,,
72,72,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.489473684,0.887681159,0.09079602,0.827531646,0.821969697,0.031986532,0.387724551,0.353958144,0.753205128,0.218487395,0.003007081,0.000378233,0.00308642,Tsai,,
73,73,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.024930748,0.015789474,0.898550725,0.009950249,0.842563291,0.825757576,0.032323232,0.372754491,0.444949955,0.378205128,0.235294118,0.003104084,0.000378233,0.00308642,Tsai,,
74,74,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.015789474,0.898550725,0.01119403,0.845727848,0.825757576,0.032323232,0.357784431,0.444949955,0.304487179,0.336134454,0.007323698,0.001654768,0.007407407,Tsai,,
75,75,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.149584488,0.015789474,0.905797101,0.012437811,0.853639241,0.825757576,0.032491582,0.341317365,0.444949955,0.282051282,0.361344538,0.015326414,0.005531653,0.015432099,Tsai,,
76,76,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.232686981,0.015789474,0.913043478,0.013681592,0.870253165,0.829545455,0.032996633,0.329341317,0.426751592,0.262820513,0.394957983,0.023474634,0.010921469,0.02345679,Tsai,,
77,77,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.329639889,0.015789474,0.920289855,0.016169154,0.881329114,0.833333333,0.033164983,0.314371257,0.435850773,0.25,0.420168067,0.032010864,0.017918775,0.032098765,Tsai,,
78,78,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.495844875,0.015789474,0.923913043,0.02238806,0.891613924,0.833333333,0.033501684,0.299401198,0.444949955,0.233974359,0.445378151,0.048937821,0.035506595,0.048971193,Tsai,,
79,79,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.662049861,0.015789474,0.934782609,0.095771144,0.912183544,0.840909091,0.034006734,0.284431138,0.435850773,0.227564103,0.453781513,0.06591328,0.057254976,0.065843621,Tsai,,
80,80,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.828254848,0.015789474,0.938405797,0.445273632,0.919303797,0.837121212,0.034175084,0.255988024,0.435850773,0.221153846,0.470588235,0.08332525,0.083258475,0.083333333,Tsai,,
81,81,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.011080332,0.226315789,0.253623188,0.041044776,0.128955696,0.511363636,0.007575758,0.54491018,0.272065514,0.698717949,0.210084034,0.00038801,0.000236395,0.000411523,Tsai,,
82,82,M250Y,0.756097561,0.426605505,0,0.018783984,0.001501502,0.001470453,0.019006713,,1,0.066481994,0.226315789,0.257246377,0.043532338,0.131329114,0.511363636,0.007744108,0.531437126,0.272065514,0.641025641,0.302521008,0.001988554,0.001512931,0.002057613,Tsai,,
