,Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
63,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,25.0,1.0,30.8,47.0,12.1,2.25,35.7,0.0953,404.0,172.0,0.93,6.62,379.0,1.56,Tsai,,
64,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.0,31.1,61.0,12.27,2.26,35.9,0.0937,404.0,167.0,0.96,9.87,740.0,2.33,Tsai,,
65,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,1.0,31.3,68.0,12.45,2.27,36.1,0.0925,404.0,164.0,0.99,13.22,1198.0,3.12,Tsai,,
66,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,61.0,1.0,31.6,406.0,12.67,2.27,36.4,0.0903,402.0,156.0,1.04,16.63,1742.0,3.92,Tsai,,
67,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,37.0,1.5,31.5,351.0,12.64,2.26,36.3,0.0871,403.0,218.0,1.04,9.92,740.0,2.34,Tsai,,
68,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,24.0,1.5,31.6,112.0,12.68,2.25,36.4,0.0852,403.0,229.0,0.97,6.61,378.0,1.56,Tsai,,
69,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,1.5,31.7,100.0,12.79,2.25,36.5,0.0831,403.0,233.0,0.95,4.93,233.0,1.16,Tsai,,
70,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,1.5,31.9,91.0,12.95,2.25,36.7,0.0812,400.0,241.0,0.89,3.29,119.0,0.77,Tsai,,
71,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,1.5,32.1,84.0,13.07,2.26,36.8,0.0802,400.0,254.0,0.8,1.65,38.0,0.39,Tsai,,
72,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,1.5,32.2,80.0,13.21,2.26,37.0,0.0791,400.0,275.0,0.66,0.75,10.0,0.18,Tsai,,
73,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,3.0,0.6,32.5,15.0,13.4,2.27,37.2,0.0781,410.0,158.0,0.68,0.77,10.0,0.18,Tsai,,
74,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,6.0,0.6,32.5,16.0,13.44,2.27,37.2,0.0771,410.0,135.0,0.8,1.64,37.0,0.39,Tsai,,
75,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,12.0,0.6,32.7,17.0,13.54,2.27,37.3,0.076,410.0,128.0,0.83,3.29,119.0,0.78,Tsai,,
76,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,18.0,0.6,32.9,18.0,13.75,2.28,37.6,0.0752,408.0,122.0,0.87,4.97,233.0,1.17,Tsai,,
77,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,25.0,0.6,33.1,20.0,13.89,2.29,37.7,0.0742,409.0,118.0,0.9,6.73,381.0,1.59,Tsai,,
